"""Row/Burpee YGIY""",Grind/Endurance (Team),For Time (10 Rounds),"250m Row (YGIY), 10 Burpees Over Rower (YGIY).",Rower,"Full Body, Cardio","Consistent Pacing, Anaerobic Capacity",Reduce Row to 200m.
"""Alternating Pistol Test""",Gymnastics/Skill (Team),For Time (100 Reps),"100 Alternating Pistol Squats (YGIY, P1 does 1, P2 does 1). Every time a rep is missed, both partners perform 5 Air Squats.",None,"Legs, Balance, Core","Relative Strength, Technical Stamina",Scale to Single-Leg Box Squats.
"""Synchro Wall Balls II""",Grind/Endurance (Team),For Time (3 Rounds),"30 Synchro Wall Balls, 20 Synchro Box Jumps, 10 Rope Climbs (Split Reps).","Wall Ball, Box, Rope","Full Body, Coordination","Synchronization, High Volume",Scale Rope Climbs to 2:1 Rope Pull-ups.
"""Team Dumbbell Power""",Dumbbell/Kettlebell (Team),For Time (3 Rounds),"20 Dual Dumbbell Squat Cleans (Split Reps, 40/30 lbs), 30 Toes-to-Bar (Split Reps).","2 DBs, Pull-up Bar","Hips, Core, Power","DB Cycling, Midline Stability",Reduce DB weight to 30/20 lbs.
"""The Partner Carry""",Grind/Endurance (Team),For Distance (AMRAP in 15 Minutes),P1 carries P2 50 ft (Fireman or Piggyback). 10 Synchro Air Squats. Switch roles.,None (Bodyweight),"Legs, Core, Back","Functional Strength, Teamwork",Reduce carry distance to 25 ft.
"""Yoke Carry Pacer""",Barbell/Weightlifting (Team),For Time (4 Rounds),P1 carries Yoke 100 ft (Heavy). P2 completes max reps of Overhead Squats (95/65 lbs). Switch.,"Yoke, Barbell","Core Stability, Shoulders",Functional Strength Endurance,Substitute Yoke for a heavy Back Rack Carry.
"""High Volume Press""",Grind/Endurance (Team),For Time,"100 Push Press (Split Reps, 95/65 lbs), 100 Burpees (Split Reps).",Barbell (95/65 lbs),"Shoulders, Hips, Cardio","Muscular Endurance, Lactic Tolerance",Reduce all reps to 75.
"""Team Bar Muscle-Up""",Gymnastics/Skill (Team),For Time (50 Reps Total),50 Bar Muscle-Ups (Split Reps). Partner performs a Plank Hold while the other works.,Pull-up Bar,"Upper Body, Core","High Volume Skill, Strength Endurance",Scale to 2:1 C2B Pull-ups.
"""Kettlebell Swing Pacer""",Dumbbell/Kettlebell (Team),For Time (5 Rounds),P1 completes 50 KB Swings (24/16 kg). P2 holds a Chin-Over-Bar hold. Switch.,"KB, Pull-up Bar","Hips, Core, Back","Grip Stamina, Muscular Endurance",Reduce Swings to 30 reps.
"""Partner Assault Bike""",Monostructural/Cardio (Team),For Time,"300/225 Calorie Bike (Split, work simultaneously). Every 50 Cals (total), both perform 10 Synchro Sit-ups.",Bike,"Cardiovascular System, Core","Aerobic Stamina, Pacing",Reduce total Calorie target to 250/175.
"""Deadlift-Burpee Tax""",Barbell/Weightlifting (Team),AMRAP in 14 Minutes,"10 Deadlifts (275/185 lbs) (YGIY), 10 Burpee Broad Jumps (Split Reps).",Barbell (275/185 lbs),"Posterior Chain, Hips, Cardio","Heavy Strength Pacing, Explosiveness",Reduce Deadlift weight to 245/165 lbs.
"""Alternating Man-Makers""",Dumbbell/Kettlebell (Team),For Time (4 Rounds),"10 Man-Makers (YGIY, 35/25 lbs DBs), 20 V-ups (Split Reps).",2 DBs,"Full Body, Hips","Power Endurance, Coordination",Reduce Man-Makers to 5 reps per person.
"""The Triplet Synchronized""",Grind/Endurance (Team),For Time (3 Rounds),"20 Synchro Wall Balls, 20 Synchro Dumbbell Thrusters (35/25 lbs), 20 Synchro Sit-ups.","Wall Ball, 2 DBs","Full Body, Synchronization","Muscular Endurance, Communication",Reduce reps to 15 per movement.
"""Row/Ski Tax Hold""",Monostructural/Cardio (Team),For Time,"2000m Row (Split Reps). While P1 rows, P2 holds a Squat. Switch when P1 finishes set/drops. 2000m Ski (Split Reps), P2 holds a Plank. Switch when P1 finishes set/drops.","Rower, Ski Erg","Cardiovascular System, Core, Legs","Aerobic Stamina, Isometric Endurance",Reduce distance to 1500m per machine.
"""Barbell Hold Penalty""",Barbell/Weightlifting (Team),For Time (3 Rounds),15 Power Cleans (135/95 lbs) (YGIY). P2 holds Barbell in Front Rack. Switch when P1 finishes set or P2 drops bar.,Barbell (135/95 lbs),"Hips, Shoulders, Core","Barbell Cycling, Strength Hold",Reduce Clean weight to 115/75 lbs.
"""Synchro Pulling""",Gymnastics/Skill (Team),For Time (21-15-9 Reps),"Synchronized Pull-ups, Alternating Dumbbell Thrusters (50/35 lbs, YGIY).","Pull-up Bar, 1 DB","Back, Shoulders, Core","Synchronization, Pacing",Scale Pull-ups to Jumping Pull-ups; reduce DB weight.
"""Heavy Sled Partner""",Grind/Endurance (Team),4 Rounds For Time,"50m Heavy Sled Push (P1 works, P2 rests). 50m Heavy Sled Pull (P2 works, P1 rests). 10 Synchro Burpees.",Sled/Rope,"Legs, Core, Hips","Functional Strength, Explosiveness",Reduce sled load; substitute Synchro Burpees for Air Squats.
"""Assault Bike Exchange""",Monostructural/Cardio (Team),For Time,300 Cals total (Split Reps). Partners can exchange at any time but must switch every time a partner drops their hands from the handles.,Bike,Cardiovascular System,"Sustained Power Output, Mental Toughness",Reduce Cals to 200 total.
"""Odd Object Relay""",Dumbbell/Kettlebell (Team),AMRAP in 20 Minutes,P1 runs 200m carrying a Sandbag (Heavy). P2 completes max reps of Kettlebell Swings (24/16 kg). Switch roles. Score is total swings.,"Sandbag, KB, Running Space","Full Body, Core, Hips","Functional Strength Endurance, Pacing",Reduce run to 100m; reduce Sandbag weight.
"""The Strict Synchronized""",Gymnastics/Skill (Team),For Time (5 Rounds),"10 Synchronized Strict Pull-ups, 10 Synchronized Strict Handstand Push-ups.","Pull-up Bar, Wall","Upper Body Strength, Synchronization","Absolute Strength, Gymnastic Control",Scale Strict Pull-ups to Ring Rows; HSPU to Pike Push-ups.
"""Barbell Clean Hold""",Barbell/Weightlifting (Team),For Time (5 Rounds),P1 performs 10 Front Squats (135/95 lbs). P2 holds Barbell in the Front Rack. Switch when P1 finishes set or P2 drops bar.,Barbell (135/95 lbs),"Legs, Core, Shoulders","Strength Hold, Muscular Endurance",Reduce FS reps to 7; reduce barbell weight.
"""Rowing Penalty Chipper""",Grind/Endurance (Team),For Time (All Split Reps),"100 Pull-ups, 100 Box Jumps, 100 Push-ups. Every time a partner breaks or tags out, the other must complete a 250m Row immediately.","Pull-up Bar, Box, Rower","Full Body, Cardio","High Volume Consistency, Pacing",Reduce reps to 75; reduce row to 150m.
"""EMOM Gymnastic Pacer""",EMOM/Pacing (Team),EMOM for 16 Minutes,Min 1: 10 Toes-to-Bar (Split). Min 2: 10/7 Cal Ski (YGIY). Min 3: 10 Box Jump Overs (Split). Min 4: Rest.,"Pull-up Bar, Ski Erg, Box","Full Body, Core, Cardio","Pacing, Skill Stamina",Reduce T2B to Knees-to-Elbow; reduce Ski Cals.
"""Team Half Murph""",Bodyweight/Travel (Team),For Time,"800m Run (Together). 50 Pull-ups, 100 Push-ups, 150 Air Squats (All Split Reps). 800m Run (Together).",Pull-up Bar,"Full Body, Cardio","Muscular Endurance, Stamina",Reduce all bodyweight reps by 25%.
"""Alternating C&J""",Barbell/Weightlifting (Team),For Time (100 Reps),"100 Clean & Jerks (115/75 lbs), performed ""I Go, You Go"" (P1 does 1, P2 does 1). Every 20 reps, both partners perform 10 Burpees.",Barbell (115/75 lbs),"Hips, Shoulders, Cardio","Barbell Cycling Endurance, Pacing",Reduce weight to 95/65 lbs.
"""Pistol Penalty Hold""",Gymnastics/Skill (Team),AMRAP in 15 Minutes,"P1 performs Max Reps of Ring Rows. P2 holds a Pistol Squat position (bottom, alternating legs every 30s). Switch when P2 breaks hold.",Rings,"Legs, Back, Core","Unilateral Strength, Isometric Endurance",Scale Pistol hold to a 90-degree Front Squat hold.
"""Heavy D-Ball Over""",Dumbbell/Kettlebell (Team),For Time (4 Rounds),"10 D-Ball Over Shoulder (Heavy, YGIY), 10 Synchro Push-ups. 200m Run (Together).","D-Ball (Heavy), Running Space","Posterior Chain, Core, Cardio","Explosive Strength, Functional Stamina",Reduce D-Ball weight; reduce run to 100m.
"""Row/Ski Tax Sprint""",Monostructural/Cardio (Team),8 Rounds For Time,P1 rows 250m (Max Effort). P2 holds a Chin-Over-Bar. Switch. P1 skis 250m (Max Effort). P2 holds a Plank. Switch.,"Rower, Ski Erg, Pull-up Bar","Cardiovascular System, Core, Back","Anaerobic Power, Grip Stamina",Reduce distance to 200m.
"""The Partner Ladder""",AMRAP/Interval (Team),AMRAP in 18 Minutes,"Ladder of 2-4-6-8...: Dumbbell Snatch (Alternating, Split Reps), Box Jump Overs (Split Reps).","1 DB (50/35 lbs), Box","Hips, Core, Legs","Work Capacity, Consistency",Use a lighter DB (40/25 lbs).
"""Synchro KB Swings""",Dumbbell/Kettlebell (Team),For Time (150 Reps),"150 Synchronized Kettlebell Swings (24/16 kg). Every time partners fall out of sync, they must complete 5 Burpees each.",KB,"Hips, Core, Cardio","Synchronization, Endurance",Reduce total reps to 100.
"""Weighted Vest Run""",Grind/Endurance (Team),For Time (3 Rounds),"1 Mile Run (Together, one partner wears 20/14lb vest). 50 AbMat Sit-ups (Split Reps). Vest must be exchanged at 800m mark.","Weight Vest (Optional), Running Space","Cardio, Core","Aerobic Stamina, Core Endurance",Remove the vest; reduce run to 800m.
"""Synchro Wall Climbs""",Gymnastics/Skill (Team),For Time (5 Rounds),"5 Synchronized Wall Walks, 10 Synchro Air Squats.",Wall,"Shoulders, Core, Legs","Synchronization, Relative Strength",Scale Wall Walks to Pike Push-ups.
"""Clean & Jerk Penalty""",Barbell/Weightlifting (Team),For Time (5 Rounds),5 Clean & Jerks (185/125 lbs) (YGIY). P2 holds barbell in Back Rack. Switch when P1 finishes set or P2 drops bar.,Barbell (185/125 lbs),"Hips, Shoulders, Core","Strength Hold, Pacing",Reduce C&J weight to 155/105 lbs.
"""Ski/Wall Ball Hold""",AMRAP/Interval (Team),AMRAP in 18 Minutes,P1 performs Max Cals on Ski Erg. P2 holds a GHD Sit-up position (at 90 degrees). Switch when P2 breaks hold. Score is total Cals.,"Ski Erg, GHD (or Mat)","Core, Cardio","Isometric Endurance, Work Capacity",Substitute GHD hold for a V-up hold.
"""Partner Burpee Over""",Bodyweight/Travel (Team),For Time (10 Rounds),"10 Burpees Over Partner (Partner lies flat on ground, partner works). 10 Air Squats (Synchro).",None (Bodyweight),"Full Body, Coordination","Stamina, Teamwork",Reduce rounds to 7.
"""Legless Relay""",Gymnastics/Skill (Team),For Time (5 Rounds),"1 Legless Rope Climb (YGIY), 15 Box Jumps (Split Reps).","Rope, Box","Back, Arms, Legs","Absolute Pulling Strength, Explosiveness",Scale to regular Rope Climb or 2:1 Strict Pull-ups.
"""Team Triplet Grind""",Grind/Endurance (Team),For Time (3 Rounds),"50 Double Unders (Synchro), 20 Kettlebell Goblet Squats (YGIY), 10 Ring Dips (Split Reps).","Jump Rope, KB, Rings","Full Body, Coordination","High Volume, Skill Under Fatigue",Scale DU to Single Unders; scale Ring Dips to Box Dips.
"""Alternating Row/Clean""",Monostructural/Cardio (Team),For Time (4 Rounds),"500m Row (YGIY, P1 does 250m then P2 does 250m). 10 Squat Cleans (135/95 lbs) (YGIY).","Rower, Barbell (135/95 lbs)","Hips, Cardio","Power Stamina, Transition Speed",Reduce Row to 400m.
"""The Sandbag Squat Tax""",Dumbbell/Kettlebell (Team),AMRAP in 16 Minutes,"10 Sandbag Front Squats (Heavy, YGIY). P2 performs a Wall Sit. Switch when P1 finishes set or P2 drops from wall.","Sandbag (Heavy), Wall","Legs, Core, Strength","Muscular Endurance, Isometric Hold",Reduce Sandbag weight.
"""Partner Run Penalty""",Monostructural/Cardio (Team),For Time (3 Rounds),"1600m Run (Together). Every time partners separate by more than 10 ft, both must stop and perform 5 Burpees.",Running Space,Cardiovascular System,"Pacing, Communication",Reduce run to 800m.
